HW,CIN,COUT,KERNEL_SIZE,STRIDES,SCALED_FREQ
15,120,120,3,1,0.0003333333333333333
24,96,96,3,1,0.0003333333333333333
23,120,120,7,1,0.0003333333333333333
32,72,72,5,1,0.0003333333333333333
17,112,112,3,1,0.0003333333333333333
58,40,40,7,1,0.0003333333333333333
31,200,200,7,2,0.0003333333333333333
42,64,64,7,1,0.0003333333333333333
41,64,64,3,1,0.0003333333333333333
30,80,80,5,1,0.0003333333333333333
57,40,40,5,1,0.0003333333333333333
46,104,104,3,2,0.0003333333333333333
15,136,136,3,1,0.0003333333333333333
5,504,504,3,1,0.0003333333333333333
14,160,160,3,1,0.0003333333333333333
28,184,184,3,2,0.0003333333333333333
42,64,64,3,1,0.0003333333333333333
60,88,88,7,2,0.0003333333333333333
47,56,56,3,1,0.0003333333333333333
64,32,32,5,1,0.0003333333333333333
60,40,40,7,1,0.0003333333333333333
54,48,48,5,1,0.0003333333333333333
37,64,64,5,1,0.0003333333333333333
30,72,72,3,1,0.0003333333333333333
10,232,232,7,1,0.0003333333333333333
58,40,40,7,1,0.0003333333333333333
15,624,624,7,2,0.0003333333333333333
26,96,96,5,1,0.0003333333333333333
31,80,80,3,1,0.0003333333333333333
12,192,192,3,1,0.0003333333333333333
8,344,344,7,1,0.0003333333333333333
59,80,80,7,2,0.0003333333333333333
5,512,512,3,1,0.0003333333333333333
8,304,304,3,1,0.0003333333333333333
41,64,64,5,1,0.0003333333333333333
6,408,408,7,1,0.0003333333333333333
6,384,384,3,1,0.0003333333333333333
14,600,600,7,2,0.0003333333333333333
4,624,624,5,1,0.0003333333333333333
30,208,208,5,2,0.0003333333333333333
45,120,120,3,2,0.0003333333333333333
47,56,56,3,1,0.0003333333333333333
52,48,48,3,1,0.0003333333333333333
33,176,176,3,2,0.0003333333333333333
15,648,648,7,2,0.0003333333333333333
31,96,96,3,1,0.0003333333333333333
24,112,112,7,1,0.0003333333333333333
6,432,432,3,1,0.0003333333333333333
37,72,72,7,1,0.0003333333333333333
10,264,264,3,1,0.0003333333333333333
32,72,72,3,1,0.0003333333333333333
38,96,96,3,2,0.0003333333333333333
26,144,144,3,2,0.0003333333333333333
5,584,584,5,1,0.0003333333333333333
